Type,Question,Options,Answer,Chunk_ID,QA_ID
Blanks,"Python is a programming language that runs on many different operating systems, including ______.",,"Linux, Windows, and Mac OS X",SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q025
Blanks,"To get the most up-to-date information about Python, visit the ______.",,official website of Python,SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q026
Blanks,The three main versions of Python are ______.,,"Python 1.x, Python 2.x, and Python 3.x",SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q027
Match,Python,A programming language that runs on various operating systems;Major versions of Python;Where to find the latest Python information,A programming language that runs on various operating systems,SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q028
Match,Python official website,Major versions of Python;A programming language that runs on various operating systems;Where to find the latest Python information,Where to find the latest Python information,SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q029
Match,Python versions,A programming language that runs on various operating systems;Major versions of Python;Where to find the latest Python information,Major versions of Python,SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q030
MCQ,Which of the following is NOT an operating system that Python runs on?,Linux;iOS;Windows;Mac OS X,iOS,SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q031
MCQ,What is the purpose of the Python official website?,To provide the most up-to-date Python information;To store Python documentation;To download Python software;To teach Python programming,To provide the most up-to-date Python information,SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q032
MCQ,"Which Python version is the most recent, according to the passage?",Python 2.x;Python 4.x;Python 1.x;Python 3.x,Python 3.x,SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q033
True/False,Python can only be run on Unix-based operating systems.,True;False,FALSE,SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q034
True/False,The official Python website is the only place to find Python information.,True;False,FALSE,SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q035
True/False,Python 2.x is the most recent version of Python.,True;False,FALSE,SA_P1_M1_Ch01_Pg012_1,SA_P1_M1_Q036
Blanks,"In Step 2, we need to check the box ___.",,Add Python 3.10.8 to PATH,SA_P1_M1_Ch01_Pg014_1,SA_P1_M1_Q037
Blanks,"In Step 4, after the installation, python is ___.",,successfully installed,SA_P1_M1_Ch01_Pg014_1,SA_P1_M1_Q038
Blanks,"To check if python is installed on a Windows PC, we can run ___ on the Command Line.",,C:\\Users\\Your Name>python –version,SA_P1_M1_Ch01_Pg014_1,SA_P1_M1_Q039
Match,Add Python 3.10.8 to PATH,Checkbox to add Python to the system path;Used to execute Python commands;Click to install Python,Checkbox to add Python to the system path,SA_P1_M1_Ch01_Pg014_1,SA_P1_M1_Q040
Match,Python interactive shell,Used to execute Python commands;Click to install Python;Checkbox to add Python to the system path,Used to execute Python commands,SA_P1_M1_Ch01_Pg014_1,SA_P1_M1_Q041
Match,Install Now,Checkbox to add Python to the system path;Used to execute Python commands;Click to install Python,Click to install Python,SA_P1_M1_Ch01_Pg014_1,SA_P1_M1_Q042
MCQ,Which of the following is NOT a step in installing Python on a Windows PC?,Creating a new folder for Python installation;Clicking on 'Install Now';Running 'C:\\Users\\Your Name>python –version' on the Command Line;Checking the 'Add Python 3.10.8 to PATH' box,Creating a new folder for Python installation,SA_P1_M1_Ch01_Pg014_1,SA_P1_M1_Q043
MCQ,What does 'REPL' stand for in the context of Python?,Run-Execute-Print-Loop;Read-Execute-Print-Loop;Return-Execute-Print-Loop;Read-Eval-Print-Loop,Read-Eval-Print-Loop,SA_P1_M1_Ch01_Pg014_1,SA_P1_M1_Q044
True/False,The installation of Python on a Windows PC is complete after Step 2.,True;False,FALSE,SA_P1_M1_Ch01_Pg014_1,SA_P1_M1_Q045
True/False,The 'python' command can be used to open the Python interactive shell.,True;False,TRUE,SA_P1_M1_Ch01_Pg014_1,SA_P1_M1_Q046
Blanks,The online platform for running python code in the browser is _____.,,colab,SA_P1_M1_Ch01_Pg017_1,SA_P1_M1_Q047
Match,Pycharm,Distribution of Python and related packages.;IDE for Python development.;Online platform for running python code in the browser.,IDE for Python development.,SA_P1_M1_Ch01_Pg017_1,SA_P1_M1_Q048
Match,Anaconda,Online platform for running python code in the browser.;Distribution of Python and related packages.;IDE for Python development.,Distribution of Python and related packages.,SA_P1_M1_Ch01_Pg017_1,SA_P1_M1_Q049
Match,Jupyter Notebook,Distribution of Python and related packages.;Online platform for running python code in the browser.;IDE for Python development.,Online platform for running python code in the browser.,SA_P1_M1_Ch01_Pg017_1,SA_P1_M1_Q050
MCQ,Which of the following is NOT an IDE for Python?,Visual Studio Code;Pycharm;Jupyter Notebook;Anaconda,Jupyter Notebook,SA_P1_M1_Ch01_Pg017_1,SA_P1_M1_Q051
True/False,Pycharm is a free and open-source IDE.,True;False,FALSE,SA_P1_M1_Ch01_Pg017_1,SA_P1_M1_Q052
Blanks,For printing in Python we can use _______ function.,,print,SA_P1_M1_Ch02_Pg022_1,SA_P1_M1_Q053
Match,print(),Can be used to enclose strings;Used for printing on the console;Can be used to enclose strings,Used for printing on the console,SA_P1_M1_Ch02_Pg022_1,SA_P1_M1_Q054
Match,single quote,Can be used to enclose strings;Can be used to enclose strings;Used for printing on the console,Can be used to enclose strings,SA_P1_M1_Ch02_Pg022_1,SA_P1_M1_Q055
Match,double quote,Can be used to enclose strings;Used for printing on the console;Can be used to enclose strings,Can be used to enclose strings,SA_P1_M1_Ch02_Pg022_1,SA_P1_M1_Q056
MCQ,Which of the following is the correct syntax for printing a string in Python?,print(string);print string;print('string');print {string},print('string'),SA_P1_M1_Ch02_Pg022_1,SA_P1_M1_Q057
True/False,print() function can only print single strings.,True;False,FALSE,SA_P1_M1_Ch02_Pg022_1,SA_P1_M1_Q058
Blanks,Variables are names to the _________ to store and manipulate data or information in a program,,memory location,SA_P1_M1_Ch02_Pg025_1,SA_P1_M1_Q059
Match,a,integer;float;string,integer,SA_P1_M1_Ch02_Pg025_1,SA_P1_M1_Q060
Match,b,integer;string;float,float,SA_P1_M1_Ch02_Pg025_1,SA_P1_M1_Q061
Match,name,string;float;integer,string,SA_P1_M1_Ch02_Pg025_1,SA_P1_M1_Q062
MCQ,Which of the following is a valid variable name?,1age;_age;age,_age,SA_P1_M1_Ch02_Pg025_1,SA_P1_M1_Q063
True/False,Variable names are case-sensitive.,True;False,TRUE,SA_P1_M1_Ch02_Pg025_1,SA_P1_M1_Q064
Blanks,Comments are used to hide the statement from the ________.,,interpreter,SA_P1_M1_Ch02_Pg027_1,SA_P1_M1_Q065
Blanks,The character used to comment the statement is ________.,,#,SA_P1_M1_Ch02_Pg027_1,SA_P1_M1_Q066
Blanks,Comments are mainly used to ________.,,describe the code,SA_P1_M1_Ch02_Pg027_1,SA_P1_M1_Q067
Blanks,The code to perform addition of two numbers is ________.,,#code to perform addition of two numbers,SA_P1_M1_Ch02_Pg027_1,SA_P1_M1_Q068
Match,Comments,Used to hide statements from the interpreter;Special symbols to perform specific tasks,Used to hide statements from the interpreter,SA_P1_M1_Ch02_Pg027_1,SA_P1_M1_Q069
Match,Operators,Used to hide statements from the interpreter;Special symbols to perform specific tasks,Special symbols to perform specific tasks,SA_P1_M1_Ch02_Pg027_1,SA_P1_M1_Q070
MCQ,Which character is used to comment a statement?,%;#;*;$,#,SA_P1_M1_Ch02_Pg027_1,SA_P1_M1_Q071
MCQ,Which of the following is NOT a type of operator?,Logical Operators;Comparison Operators;Formatting Operators;Arithmetic Operators,Formatting Operators,SA_P1_M1_Ch02_Pg027_1,SA_P1_M1_Q072
True/False,Comments are only used for single-line statements.,True;False,FALSE,SA_P1_M1_Ch02_Pg027_1,SA_P1_M1_Q073
True/False,Operators are used to perform specific tasks.,True;False,TRUE,SA_P1_M1_Ch02_Pg027_1,SA_P1_M1_Q074
Blanks,The operator used to perform division is ________.,,/,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q075
Blanks,The operator that checks if two values are not equal is ________.,,!=,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q076
Blanks,The operator that returns the remainder after division is ________.,,%,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q077
Match,Addition,Performs subtraction;Returns the remainder after division;Divides two numbers and rounds down the result;Performs division;Performs addition;Raises a number to a power;Performs multiplication,Performs addition,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q078
Match,Subtraction,Performs addition;Performs multiplication;Performs subtraction;Returns the remainder after division;Raises a number to a power;Performs division;Divides two numbers and rounds down the result,Performs subtraction,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q079
Match,Multiplication,Performs addition;Raises a number to a power;Divides two numbers and rounds down the result;Performs subtraction;Returns the remainder after division;Performs division;Performs multiplication,Performs multiplication,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q080
Match,Division,Returns the remainder after division;Performs division;Performs addition;Divides two numbers and rounds down the result;Performs subtraction;Raises a number to a power;Performs multiplication,Performs division,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q081
Match,Modulus,Divides two numbers and rounds down the result;Raises a number to a power;Performs multiplication;Performs division;Performs addition;Returns the remainder after division;Performs subtraction,Returns the remainder after division,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q082
Match,Exponentiation,Performs multiplication;Raises a number to a power;Performs addition;Returns the remainder after division;Divides two numbers and rounds down the result;Performs subtraction;Performs division,Raises a number to a power,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q083
Match,Floor division,Returns the remainder after division;Performs subtraction;Performs division;Divides two numbers and rounds down the result;Performs addition;Performs multiplication;Raises a number to a power,Divides two numbers and rounds down the result,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q084
MCQ,Which operator checks if two values are greater than or equal to each other?,<;>;<=;>=,>=,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q085
MCQ,Which operator returns the opposite value of a given value?,or;and;not;==,not,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q086
MCQ,Which operator has lower precedence than the multiplication operator?,/;**;+;-,+,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q087
True/False,The modulus operator always returns a positive value.,True;False,FALSE,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q088
True/False,The logical OR operator returns true if either of the values is true.,True;False,TRUE,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q089
True/False,The floor division operator rounds up the result.,True;False,FALSE,SA_P1_M1_Ch02_Pg029_1,SA_P1_M1_Q090
Blanks,The assignment operator assigns a value to the variable.,,TRUE,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q091
Blanks,The operator performs operations and assigns result to the same variable.,,+=,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q092
Blanks,The operator returns true if two variables refer same memory location.,,is,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q093
Blanks,The operator returns true if a value in a collection otherwise false.,,in,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q094
Match,Assignment Operator,Returns true if a value in a collection otherwise false;Returns true if two variables refer same memory location;Assigns a value to the variable,Assigns a value to the variable,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q095
Match,Identity Operator,Assigns a value to the variable;Returns true if a value in a collection otherwise false;Returns true if two variables refer same memory location,Returns true if two variables refer same memory location,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q096
Match,Membership Operator,Returns true if a value in a collection otherwise false;Assigns a value to the variable;Returns true if two variables refer same memory location,Returns true if a value in a collection otherwise false,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q097
MCQ,Which of the following is the assignment operator?,+=;=;is;-=,=,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q098
MCQ,Which of the following is the identity operator?,not in;is;in;=,is,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q099
MCQ,Which of the following is the membership operator?,=;is;+=;in,in,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q100
True/False,The assignment operator can be used to perform operations.,True;False,TRUE,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q101
True/False,The identity operator returns true if two variables refer different memory locations.,True;False,FALSE,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q102
True/False,The membership operator can be used to check if a value is not in a collection.,True;False,TRUE,SA_P1_M1_Ch02_Pg032_1,SA_P1_M1_Q103
Blanks,The input() built-in function allows us to accept input from a _______.,,standard input device (keyboard),SA_P1_M1_Ch02_Pg035_1,SA_P1_M1_Q104
Blanks,Input from the input() function is always in _______ format.,,string,SA_P1_M1_Ch02_Pg035_1,SA_P1_M1_Q105
Match,int(),Converts string or int to float;Converts numeric value to string;Converts string or float to integer,Converts string or float to integer,SA_P1_M1_Ch02_Pg035_1,SA_P1_M1_Q106
Match,float(),Converts string or int to float;Converts string or float to integer;Converts numeric value to string,Converts string or int to float,SA_P1_M1_Ch02_Pg035_1,SA_P1_M1_Q107
Match,str(),Converts string or int to float;Converts numeric value to string;Converts string or float to integer,Converts numeric value to string,SA_P1_M1_Ch02_Pg035_1,SA_P1_M1_Q108
MCQ,Which of the following is NOT a type casting function in Python?,string();int();float(),string(),SA_P1_M1_Ch02_Pg035_1,SA_P1_M1_Q109
MCQ,"What is the output of the following code?
a = input('Enter a value: ')
print(type(a))",<class 'float'>;<class 'int'>;<class 'str'>,"[""<class 'str'>""]",SA_P1_M1_Ch02_Pg035_1,SA_P1_M1_Q110
True/False,The input() function requires the user to press Enter after entering input.,True;False,TRUE,SA_P1_M1_Ch02_Pg035_1,SA_P1_M1_Q111
True/False,Type casting functions can convert any data type to any other data type.,True;False,FALSE,SA_P1_M1_Ch02_Pg035_1,SA_P1_M1_Q112
Blanks,Data type represents the type of value ______ in a variable.,,stored,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q113
Blanks,The type() function is used to find the ______ of a variable.,,type,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q114
Blanks,_____ hold only numeric values.,,Numeric data types,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q115
Blanks,_____ is an integer type variable.,,x = 40,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q116
Blanks,The ______ character must be used for complex type declaration.,,'j',SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q117
Match,Data Type,Stores complex numbers;Stores whole numbers;Holds only numeric values;Stores decimal values;Type of value stored in a variable,Type of value stored in a variable,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q118
Match,Integer Type,Holds only numeric values;Stores whole numbers;Type of value stored in a variable;Stores decimal values;Stores complex numbers,Stores whole numbers,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q119
Match,Float Type,Type of value stored in a variable;Holds only numeric values;Stores complex numbers;Stores whole numbers;Stores decimal values,Stores decimal values,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q120
Match,Complex Type,Stores complex numbers;Stores decimal values;Stores whole numbers;Holds only numeric values;Type of value stored in a variable,Stores complex numbers,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q121
Match,Numeric Data Types,Type of value stored in a variable;Stores decimal values;Holds only numeric values;Stores complex numbers;Stores whole numbers,Holds only numeric values,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q122
MCQ,Which of the following is NOT a numeric data type?,Integer;Complex;Float;String,String,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q123
MCQ,What is the data type of the variable 'x' in the example 'x = 20'?,Integer;Boolean;Float;Complex,Integer,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q124
MCQ,Which of the following is the correct way to declare a complex number in Python?,z = 10+20i;z = 10 - 20j;z = 10 - 20i;z = 10+20j,z = 10+20j,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q125
True/False,All numeric data types can hold decimal values.,True;False,FALSE,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q126
True/False,The type() function returns the value stored in a variable.,True;False,FALSE,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q127
True/False,Complex data types are used to store complex numbers.,True;False,TRUE,SA_P1_M1_Ch03_Pg038_1,SA_P1_M1_Q128
Blanks,"Boolean data types represent logical values, where True denotes ______ and False denotes ______.",,"['truth', 'falsehood']",SA_P1_M1_Ch03_Pg041_1,SA_P1_M1_Q129
Blanks,Strings are ______ enclosed between ______ or ______.,,"['sequences of characters', 'single quotes', 'double quotes']",SA_P1_M1_Ch03_Pg041_1,SA_P1_M1_Q130
Match,Boolean Type,A logical value representing truth or falsehood;A sequence of characters,A logical value representing truth or falsehood,SA_P1_M1_Ch03_Pg041_1,SA_P1_M1_Q131
Match,String Type,A sequence of characters;A logical value representing truth or falsehood,A sequence of characters,SA_P1_M1_Ch03_Pg041_1,SA_P1_M1_Q132
MCQ,Which of the following is a valid Boolean expression?,"is_female == False;both of the above;is_male = ""True"";none of the above",both of the above,SA_P1_M1_Ch03_Pg041_1,SA_P1_M1_Q133
True/False,Strings cannot be empty in Python.,True;False,FALSE,SA_P1_M1_Ch03_Pg041_1,SA_P1_M1_Q134
True/False,"The len() function returns the number of characters in a string, including spaces.",True;False,TRUE,SA_P1_M1_Ch03_Pg041_1,SA_P1_M1_Q135
Blanks,"Strings are immutable, which means that the characters in a string cannot be _____________",,changed,SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q136
Blanks,The index of the first character in a string is _____________,,0,SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q137
Blanks,The index of the last character in a string is _____________,,-1,SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q138
Blanks,The range operator (x1:x2) can be used to access characters from position _____________ to _____________-1,,"['x1', 'x2']",SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q139
Match,Index,Used to access characters from a specified location;Used to access characters from the end of a string;Used to access a range of characters,Used to access characters from a specified location,SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q140
Match,Negative Index,Used to access characters from a specified location;Used to access characters from the end of a string;Used to access a range of characters,Used to access characters from the end of a string,SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q141
Match,Range Operator,Used to access a range of characters;Used to access characters from a specified location;Used to access characters from the end of a string,Used to access a range of characters,SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q142
MCQ,Which of the following is NOT a valid way to access characters in a string?,:;{};[];(),(),SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q143
MCQ,What is the index of the first character in the string 'Python'?,-1;0;1;2,0,SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q144
True/False,Strings can be modified after they are created,True;False,FALSE,SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q145
True/False,Negative indices can be used to access characters from the beginning of a string,True;False,FALSE,SA_P1_M1_Ch03_Pg044_1,SA_P1_M1_Q146
Blanks,"String data types can be combined using the ______ operator, which concatenates two strings together.",,+,SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q147
Blanks,The ______ operator repeats a string a specified number of times.,,*,SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q148
Blanks,The ______ and ______ operators can be used to check whether a part of a string exists.,,"['in', 'not in']",SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q149
Match,find(),"Converts the string to uppercase, lowercase, or capitalizes the first character;Replaces all occurrences of a substring with another substring;Splits the string into a list of substrings based on a delimiter;Finds the index of the first occurrence of a substring",Finds the index of the first occurrence of a substring,SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q150
Match,split(),"Finds the index of the first occurrence of a substring;Splits the string into a list of substrings based on a delimiter;Converts the string to uppercase, lowercase, or capitalizes the first character;Replaces all occurrences of a substring with another substring",Splits the string into a list of substrings based on a delimiter,SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q151
Match,replace(),"Splits the string into a list of substrings based on a delimiter;Converts the string to uppercase, lowercase, or capitalizes the first character;Finds the index of the first occurrence of a substring;Replaces all occurrences of a substring with another substring",Replaces all occurrences of a substring with another substring,SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q152
Match,upper()/lower()/capitalize(),"Replaces all occurrences of a substring with another substring;Converts the string to uppercase, lowercase, or capitalizes the first character;Finds the index of the first occurrence of a substring;Splits the string into a list of substrings based on a delimiter","Converts the string to uppercase, lowercase, or capitalizes the first character",SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q153
MCQ,Which of the following is NOT a string method?,endswith();isalpha();count();sort(),sort(),SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q154
MCQ,Which operator is used to check if a character is alphabetic?,isletter();istext();ischar();isalph(),isalph(),SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q155
MCQ,Which method converts a string to uppercase?,upper();uppercase();makeUpper();toUpper(),upper(),SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q156
True/False,The '+' operator can be used to concatenate strings and integers.,True;False,FALSE,SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q157
True/False,The 'startswith()' method checks if a string ends with a specified substring.,True;False,FALSE,SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q158
True/False,The 'count()' method counts the number of occurrences of a character in a string.,True;False,TRUE,SA_P1_M1_Ch03_Pg047_1,SA_P1_M1_Q159
Blanks,"In Python, we use the ______ statement to iterate character by character in a string.",,for,SA_P1_M1_Ch03_Pg049_1,SA_P1_M1_Q160
Blanks,Lists are represented using ______ brackets.,,square,SA_P1_M1_Ch03_Pg049_1,SA_P1_M1_Q161
Blanks,"To access the items from a list in Python, we use ______.",,index,SA_P1_M1_Ch03_Pg049_1,SA_P1_M1_Q162
Match,String,"A collection that is ordered, indexed, and changeable;A sequence of characters;An object that contains more than one value",A sequence of characters,SA_P1_M1_Ch03_Pg049_1,SA_P1_M1_Q163
Match,List,"An object that contains more than one value;A collection that is ordered, indexed, and changeable;A sequence of characters","A collection that is ordered, indexed, and changeable",SA_P1_M1_Ch03_Pg049_1,SA_P1_M1_Q164
Match,Collection,"A sequence of characters;An object that contains more than one value;A collection that is ordered, indexed, and changeable",An object that contains more than one value,SA_P1_M1_Ch03_Pg049_1,SA_P1_M1_Q165
MCQ,Which of the following is NOT a characteristic of a list in Python?,Changeable;Indexed;Immutable;Ordered,Immutable,SA_P1_M1_Ch03_Pg049_1,SA_P1_M1_Q166
